English,CEFR,gender,word,wordAudio,definition,sentenceAudio,example,sentenceTranslation,oldSentenceToBeDeleted
have,A1,verb,avere,X,possedere qualcosa,X,Ho un cane e un gatto.,I have a dog and a cat.,
blue,A1,adjective,azzurro,X,colore tra il blu e il celeste,X,Il cielo oggi è azzurro.,The sky is blue today.,
bathroom,A1,masculine,bagno,X,locale con doccia o vasca,X,Vado in bagno prima di cena.,I go to the bathroom before dinner.,
dance,A1,verb,ballare,X,muoversi seguendo la musica,X,Mi piace ballare con gli amici.,I like to dance with friends.,
"baby, child, boy",A1,masculine,bambino,X,persona giovane di poca età,X,Il bambino gioca con la palla.,The baby plays with the ball.,
banana,A1,feminine,banana,X,frutto giallo e allungato,X,La banana è gialla.,The banana is yellow.,
bank,A1,feminine,banca,X,istituto dove si depositano e si gestiscono soldi,X,La banca è chiusa oggi.,The bank is closed today.,
"cafe, bar",A1,masculine,bar,X,locale che serve bevande e cibi,X,Bevo un caffè al bar.,I drink a coffee at the bar.,
low,A1,adjective,basso,X,con poca statura,X,Il tavolo è basso.,The table is low.,
beautiful,A1,adjective,bello,X,gradevole alla vista o allo spirito,X,Che bello questo film!,How beautiful this movie is!,
well,A1,adverb,bene,X,in modo positivo,X,"Sto bene, grazie.","I'm fine, thank you.",
welcome,A1,adjective,benvenuto,X,formula di accoglienza,X,Benvenuto nella nostra casa.,Welcome to our home.,
drink,A1,verb,bere,X,ingerire liquidi,X,Voglio bere un bicchiere d'acqua.,I want to drink a glass of water.,
white,A1,adjective,bianco,X,colore opposto al nero,X,La macchina è bianca.,The car is white.,
glass,A1,masculine,bicchiere,X,contenitore di vetro per bevande,X,Prendo un bicchiere di vino rosso.,I take a glass of red wine.,
"bike, bicycle",A1,feminine,bicicletta,X,mezzo a due ruote a pedali,X,Ho una bicicletta rossa.,I have a red bicycle.,
platform,A1,masculine,binario,X,struttura dei treni dove fermano i vagoni,X,Il treno parte dal binario tre.,The train leaves from platform three.,
beer,A1,feminine,birra,X,bevanda alcolica ottenuta dalla fermentazione del malto,X,"Prendo una birra, per favore.","I'll have a beer, please.",
cookie,A1,masculine,biscotto,X,dolce secco da forno,X,Mangio un biscotto al cioccolato.,I'm eating a chocolate cookie.,
blue,A1,adjective,blu,X,colore simile al cielo e al mare,X,La mia maglietta è blu.,My t-shirt is blue.,
mouth,A1,feminine,bocca,X,parte del volto usata per parlare e mangiare,X,Apro la bocca per mangiare.,I open my mouth to eat.,
"good, skilled",A1,adjective,bravo,X,capace e competente,X,Lei è brava a cantare.,She is good at singing.,
"ugly, terrible, horrible",A1,adjective,brutto,X,non gradevole alla vista,X,Questo film è brutto.,This movie is terrible.,
have a good day,A1,expression,buona giornata,X,augurio per un giorno piacevole,X,"Buona giornata, a presto!","Have a good day, see you soon!",
have a good evening,A1,expression,buona serata,X,augurio per una serata piacevole,X,Buona serata e divertiti!,Have a good evening and have fun!,
good night,A1,interjection,buonanotte,X,augurio serale prima del sonno,X,"Buonanotte, dormi bene.","Good night, sleep well.",
good evening,A1,interjection,buonasera,X,saluto usato nel pomeriggio e sera,X,"Buonasera, come sta?","Good evening, how are you?",
"good morning, good afternoon",A1,interjection,buongiorno,X,saluto usato al mattino,X,"Buongiorno, signora Rossi.","Good morning, Mrs. Rossi.",
good,A1,adjective,buono,X,di buona qualità o gradevole,X,Il pane è buono.,The bread is good.,
butter,A1,masculine,burro,X,grasso alimentare di origine animale,X,Metto un po' di burro sul pane.,I put a little butter on bread.,
poop,A1,feminine,cacca,X,escremento dei bambini,X,Il bambino ha fatto la cacca.,The child pooped.,
coffee,A1,masculine,caffè,X,bevanda scura ottenuta dai semi tostati di una pianta,X,Bevo un caffè ogni mattina.,I drink coffee every morning.,
"soccer, football",A1,masculine,calcio,X,sport praticato con un pallone che si calcia in una porta,X,Giochiamo a calcio nel parco.,We play soccer in the park.,
hot,A1,adjective,caldo,X,con temperatura elevata,X,Oggi fa molto caldo.,It is very hot today.,
bedroom,A1,feminine,camera,X,stanza di un’abitazione destinata a dormire,X,La mia camera è al secondo piano.,My room is on the second floor.,
waitress,A1,feminine,cameriera,X,donna che serve cibi e bevande in un locale,X,La cameriera porta il caffè.,The waitress brings the coffee.,
waiter,A1,masculine,cameriere,X,uomo che serve cibi e bevande in un locale,X,Il cameriere prende l'ordine.,The waiter takes the order.,
truck,A1,masculine,camion,X,mezzo di trasporto pesante per merci,X,Il camion è grande.,The truck is big.,
walk,A1,verb,camminare,X,muoversi a piedi facendo passi,X,Mi piace camminare nel parco.,I like walking in the park.,
countryside,A1,feminine,campagna,X,territorio rurale con campi e villaggi,X,La mia famiglia vive in campagna.,My family lives in the countryside.,
dog,A1,masculine,cane,X,animale domestico fedele dell’uomo,X,Il cane corre nel giardino.,The dog runs in the garden.,
sing,A1,verb,cantare,X,emettere suoni melodici con la voce,X,Mi piace cantare sotto la doccia.,I like to sing in the shower.,
understand,A1,verb,capire,X,comprendere il significato di qualcosa,X,Non riesco a capire questo esercizio.,I can't understand this exercise.,
hat,A1,masculine,cappello,X,copricapo che si indossa sul capo,X,Il mio cappello è rosso.,My hat is red.,
cappuccino,A1,masculine,cappuccino,X,"bevanda a base di caffè, latte e schiuma",X,Prendo un cappuccino al bar.,I'll have a cappuccino at the bar.,
cute,A1,adjective,carino,X,gradevole e simpatico nell’aspetto,X,Che bambino carino!,What a cute baby!,
meat,A1,feminine,carne,X,parte commestibile del corpo degli animali,X,Mangio carne solo a cena.,I eat meat only at dinner.,
"dear, expensive",A1,adjective,caro,X,che ha grande valore affettivo o economico,X,Questo regalo è molto caro.,This gift is very expensive.,
carrot,A1,feminine,carota,X,ortaggio arancione allungato e commestibile,X,La carota è arancione.,The carrot is orange.,
"bad, mean",A1,adjective,cattivo,X,che ha qualità negative o morali o funzionali,X,Il cane è cattivo con gli sconosciuti.,The dog is mean to strangers.,
cell phone,A1,masculine,cellulare,X,telefono portatile,X,Il mio cellulare è sul tavolo.,My phone is on the table.,
dinner,A1,feminine,cena,X,pasto principale della sera,X,La cena è pronta.,Dinner is ready.,
hundred,A1,numeral,cento,X,numero corrispondente a dieci volte dieci,X,Ci sono cento studenti nella scuola.,There are 100 students in the school.,
center,A1,masculine,centro,X,parte principale di una città o di un luogo,X,Andiamo al centro della città.,Let's go to the city center.,
search,A1,feminine,cerca,X,atto di tentare di avvicinarsi a qualcosa,X,La cerca del tesoro è iniziata.,The treasure hunt has begun.,
look for,A1,verb,cercare,X,mettersi alla ricerca di qualcosa,X,Cerco le chiavi della macchina.,I'm looking for the car keys.,
that,A1,conjunction,che,X,parola che introduce proposizioni subordinate,X,So che hai ragione.,I know you are right.,
who,A1,pronoun,chi,X,persona non specificata,X,Chi è alla porta?,Who is at the door?,
call,A1,verb,chiamare,X,rivolgere l’attenzione a qualcuno pronunciandone il nome,X,Devo chiamare mia madre.,I have to call my mother.,
key,A1,feminine,chiave,X,strumento che apre o chiude una serratura,X,Ho perso la mia chiave di casa.,I lost my house key.,
guitar,A1,feminine,chitarra,X,strumento musicale a corde pizzicate,X,Suono la chitarra ogni giorno.,I play the guitar every day.,
there,A1,adverb,ci,X,in questo luogo o in questo momento,X,Ci sono molti libri sul tavolo.,There are many books on the table.,
us,A1,pronoun,ci,X,noi stessi come complemento,X,Ci vediamo domani.,See you tomorrow.,
"hello, goodbye",A1,interjection,ciao,X,saluto informale,X,"Ciao, come stai?","Hello, how are you?",
food,A1,masculine,cibo,X,sostanza nutritiva che si mangia,X,Il cibo è pronto!,The food is ready!,
sky,A1,masculine,cielo,X,"spazio sopra la terra dove appaiono sole, luna e stelle",X,Il cielo oggi è molto azzurro.,The sky is very blue today.,
China,A1,feminine,Cina,X,paese dell’Asia orientale,X,La Cina è un paese molto grande.,China is a very big country.,
movie theater,A1,masculine,cinema,X,luogo dove si proiettano film,X,Andiamo al cinema stasera.,We're going to the cinema tonight.,
fifty,A1,numeral,cinquanta,X,numero equivalente a cinque decine,X,Ci sono cinquanta studenti nella scuola.,There are fifty students in the school.,
five,A1,numeral,cinque,X,numero che segue il quattro,X,Ci sono cinque mele sul tavolo.,There are five apples on the table.,
chocolate,A1,masculine,cioccolato,X,prodotto dolciario a base di cacao e zucchero,X,Mangio un pezzo di cioccolato dopo pranzo.,I eat a piece of chocolate after lunch.,
city,A1,feminine,città,X,grande centro abitato,X,La città è grande.,The city is big.,
class,A1,feminine,classe,X,insieme di studenti in un’aula scolastica,X,La classe è grande e luminosa.,The classroom is big and bright.,
customer,A1,noun,cliente,X,persona che compra beni o servizi,X,Il cliente entra nel negozio.,The customer enters the shop.,
breakfast,A1,feminine,colazione,X,pasto del mattino,X,Faccio colazione alle otto.,I have breakfast at eight.,
color,A1,masculine,colore,X,percezione visiva data dalla luce riflessa,X,Il mio colore preferito è il blu.,My favorite color is blue.,
how,A1,adverb,come,X,in che modo o in quale maniera,X,Come stai?,How are you doing?,
"begin, start",A1,verb,cominciare,X,iniziare un’attività,X,La lezione comincia alle otto.,The lesson starts at eight.,
birthday,A1,masculine,compleanno,X,giorno in cui si celebra la nascita di una persona,X,Oggi è il compleanno di mia sorella.,Today is my sister's birthday.,
buy,A1,verb,comprare,X,acquistare in cambio di denaro,X,Voglio comprare un gelato.,I want to buy an ice cream.,
with,A1,preposition,con,X,insieme con qualcun altro o qualcosa,X,Vado al mercato con mia madre.,I go to the market with my mother.,
"know, get to know",A1,verb,conoscere,X,avere conoscenza diretta o indiretta di qualcuno o qualcosa,X,Voglio conoscere nuovi amici.,I want to meet new friends.,
"bill, check, calculation, account",A1,masculine,conto,X,somma di denaro da pagare in un locale o in banca,X,"Il conto, per favore.","The bill, please.",
run,A1,verb,correre,X,muoversi velocemente con le gambe,X,Mi piace correre al parco.,I like to run in the park.,
thing,A1,feminine,cosa,X,"oggetto, fatto o argomento indefinito",X,Che cosa è questa?,What is this?,
what,A1,pronoun,cosa,X,ciò che si chiede per sapere o chiarire,X,Cosa vuoi mangiare?,What do you want to eat?,
"so, like this",A1,adverb,così,X,in questo modo,X,"Sono stanco, così vado a dormire.","I'm tired, so I'm going to sleep.",
so-so,A1,adverb,così così,X,né bene né male,X,Sto così così.,I feel so-so.,
believe,A1,verb,credere,X,ritenere vero,X,Credo in te.,I believe in you.,
kitchen,A1,feminine,cucina,X,stanza dove si preparano i cibi,X,La cucina è piccola ma bella.,The kitchen is small but nice.,
cousin,A1,masculine,cugino,X,figlio di zio o zia,X,Il mio cugino abita a Milano.,My cousin lives in Milan.,
in agreement,A1,adjective,d'accordo,X,espressione di accettazione o approvazione,X,Sono d'accordo con te.,I agree with you.,
from,A1,preposition,da,X,indica provenienza o origine,X,Vengo da Roma.,I come from Rome.,
give,A1,verb,dare,X,consegnare qualcosa a qualcuno,X,Puoi dare il libro a Marco?,Can you give the book to Marco?,
date,A1,feminine,data,X,giorno del calendario,X,Qual è la data di oggi?,What's today's date?,
in front of,A1,preposition,davanti a,X,nella parte anteriore di un luogo,X,Il gatto è davanti alla porta.,The cat is in front of the door.,
tooth,A1,masculine,dente,X,organo della bocca usato per masticare,X,Mi fa male un dente.,My tooth hurts.,
inside,A1,adverb,dentro,X,nella parte interna,X,I bambini sono dentro la scuola.,The children are inside the school.,
of,A1,preposition,di,X,indica appartenenza o specificazione,X,La penna è di Marco.,The pen belongs to Marco.,
December,A1,masculine,dicembre,X,ultimo mese dell’anno,X,Dicembre è l'ultimo mese dell'anno.,December is the last month of the year.,
nineteen,A1,numeral,diciannove,X,numero equivalente a dieci più nove,X,Ho diciannove anni.,I'm nineteen years old.,
seventeen,A1,numeral,diciassette,X,numero equivalente a dieci più sette,X,La classe ha diciassette alunni.,The class has seventeen students.,
eighteen,A1,numeral,diciotto,X,numero equivalente a dieci più otto,X,Ci sono diciotto sedie nella stanza.,There are eighteen chairs in the room.,
ten,A1,numeral,dieci,X,numero che segue il nove,X,Ci sono dieci studenti in aula.,There are ten students in the classroom.,
behind,A1,preposition,dietro,X,nella parte posteriore,X,Il gatto è dietro la porta.,The cat is behind the door.,
say,A1,verb,dire,X,esprimere con parole,X,Cosa vuoi dire?,What do you mean?,
draw,A1,verb,disegnare,X,raffigurare con linee e segni su una superficie,X,Disegno un fiore con le matite colorate.,I'm drawing a flower with colored pencils.,
drawing,A1,masculine,disegno,X,rappresentazione grafica o artistica,X,Guardo il disegno sul quaderno.,I'm looking at the drawing in the notebook.,
finger,A1,masculine,dito,X,parte terminale della mano,X,Mi sono tagliato un dito con la carta.,I cut my finger with the paper.,
dictionary,A1,masculine,dizionario,X,opera che raccoglie vocaboli con spiegazioni,X,Ho un dizionario italiano.,I have an Italian dictionary.,
shower,A1,feminine,doccia,X,getto d’acqua per lavarsi,X,Faccio una doccia ogni mattina.,I take a shower every morning.,
twelve,A1,numeral,dodici,X,numero che segue l’undici,X,Abbiamo dodici libri sul tavolo.,We have twelve books on the table.,
dessert,A1,masculine,dolce,X,preparazione dolciaria di sapore zuccherino,X,Prendo un dolce dopo cena.,I'm having a dessert after dinner.,
"ask, demand",A1,verb,domandare,X,chiedere qualcosa a qualcuno,X,Voglio domandare una cosa.,I want to ask something.,
tomorrow,A1,masculine,domani,X,giorno successivo a quello presente,X,Domani andiamo al mare.,Tomorrow we're going to the beach.,
tomorrow morning,A1,adverb,domattina,X,nelle ore mattutine del giorno successivo,X,Domattina vado al mercato.,Tomorrow morning I’m going to the market.,
Sunday,A1,feminine,domenica,X,giorno festivo settimanale dedicato al riposo,X,La domenica andiamo al parco.,On Sundays we go to the park.,
woman,A1,feminine,donna,X,persona di sesso femminile adulta,X,La donna parla con il dottore.,The woman talks to the doctor.,
after,A1,preposition,dopo,X,indica posteriorità temporale,X,Mangiamo dopo la scuola.,Let's eat after school.,
sleep,A1,verb,dormire,X,riposare con perdita temporanea di coscienza,X,Voglio dormire bene stanotte.,I want to sleep well tonight.,
doctor,A1,masculine,dottore,X,medico che esercita la professione,X,Il dottore è gentile.,The doctor is kind.,
where,A1,adverb,dove,X,in quale luogo,X,Dove abiti?,Where do you live?,
"must, have to",A1,verb,dovere,X,essere obbligato o avere necessità,X,Devo studiare per l'esame.,I have to study for the exam.,
two,A1,numeral,due,X,numero che segue l’uno,X,Ho due sorelle.,I have two sisters.,
and,A1,conjunction,"e, ed",,collega parole o frasi con valore aggiuntivo,X,Luca e Marco sono amici.,Luca and Marco are friends.,
"here is, here's",A1,adverb,ecco,X,indica la presenza immediata di qualcosa,X,Ecco il mio libro!,Here is my book!,
elephant,A1,masculine,elefante,X,grande animale con proboscide e zanne,X,L'elefante è un animale grande.,The elephant is a big animal.,
"enter, go in",A1,verb,entrare,X,passare dall’esterno all’interno,X,Luca entra nella stanza.,Luca enters the room.,
error,A1,masculine,errore,X,"mancanza, sbaglio",X,C'è un errore nel mio compito.,There's a mistake in my assignment.,
example,A1,masculine,esempio,X,fatto usato per chiarire o illustrare,X,Questo è un esempio facile.,This is an easy example.,
exercise,A1,masculine,esercizio,X,attività fisica o pratica per apprendere o mantenere abilità,X,Faccio un esercizio di grammatica.,I do a grammar exercise.,
be,A1,verb,essere,X,avere esistenza o identità,X,Io sono felice.,I am happy.,
summer,A1,feminine,estate,X,stagione calda dell’anno,X,In estate fa caldo.,It is hot in summer.,
age,A1,feminine,età,X,periodo di vita espresso in anni,X,Lei ha dieci anni di età.,She is ten years old.,
Euro,A1,masculine,euro,X,moneta comune di molti paesi europei,X,Questo libro costa dieci euro.,This book costs ten euros.,
Europe,A1,feminine,Europa,X,continente occidentale con molti stati,X,Europa è un continente.,Europe is a continent.,
face,A1,feminine,faccia,X,"parte anteriore della testa con occhi, naso e bocca",X,Hai una bella faccia.,You have a nice face.,
easy,A1,adjective,facile,X,che non richiede grande sforzo,X,Questo esercizio è facile.,This exercise is easy.,
hunger,A1,feminine,fame,X,sensazione che spinge a nutrirsi,X,Ho fame adesso.,I am hungry now.,
family,A1,feminine,famiglia,X,insieme di persone legate da vincoli di parentela,X,La mia famiglia è molto grande.,My family is very big.,
famous,A1,adjective,famoso,X,che gode di notorietà,X,Lui è un attore famoso.,He is a famous actor.,
"do, make",A1,verb,fare,X,compiere un’azione o produrre qualcosa,X,Cosa vuoi fare oggi?,What do you want to do today?,
pharmacy,A1,feminine,farmacia,X,luogo dove si vendono medicinali,X,La farmacia è vicino a casa.,The pharmacy is near the house.,
February,A1,masculine,febbraio,X,secondo mese dell’anno,X,Febbraio ha ventotto giorni.,February is twenty-eight days old.,
stop,A1,feminine,fermata,X,luogo dove si ferma un mezzo di trasporto,X,Aspetto l'autobus alla fermata.,I wait for the bus at the bus stop.,
party,A1,feminine,festa,X,ricorrenza celebrata con riunioni e divertimenti,X,Oggi c'è una festa in piazza.,Today there is a party in the square.,
"son, child",A1,masculine,figlio,X,figlio maschio rispetto ai genitori,X,Il figlio di Anna è simpatico.,Anna's son is nice.,
window,A1,feminine,finestra,X,apertura in un muro chiusa da vetro o imposte,X,La finestra è aperta.,The window is open.,
finish,A1,verb,finire,X,portare a termine un’azione o giungere alla conclusione,X,Voglio finire il libro.,I want to finish the book.,
flower,A1,masculine,fiore,X,parte colorata e profumata di una pianta,X,Il fiore è rosso.,The flower is red.,
sheet,A1,masculine,foglio,X,sottile pezzo di carta o altro materiale,X,Scrivo sul foglio.,I write on the sheet of paper.,
cheese,A1,masculine,formaggio,X,alimento ottenuto dalla lavorazione del latte,X,Mangio pane e formaggio.,I'm eating bread and cheese.,
oven,A1,masculine,forno,X,apparecchio per cuocere cibi con il calore,X,Il pane è nel forno.,The bread is in the oven.,
strong,A1,adjective,forte,X,che ha molta energia o intensità,X,Lui è molto forte.,He is very strong.,
"photo, picture",A1,feminine,foto,X,immagine ottenuta con una macchina fotografica,X,Guardo una foto della mia famiglia.,I'm looking at a photo of my family.,
strawberry,A1,feminine,fragola,X,frutto rosso dolce e succoso,X,Mangio una fragola a colazione.,I eat a strawberry for breakfast.,
French,A1,adjective,francese,X,proveniente dalla nazione transalpina,X,Il vino francese è famoso.,French wine is famous.,
France,A1,feminine,Francia,X,paese europeo confinante con l’Italia,X,La Francia è vicina all'Italia.,France is close to Italy.,
sentence,A1,feminine,frase,X,insieme di parole che formano un pensiero completo,X,Scrivo una frase sul quaderno.,I write a sentence in the notebook.,
brother,A1,masculine,fratello,X,figlio maschio rispetto agli stessi genitori,X,Mio fratello si chiama Paolo.,My brother's name is Paolo.,
cold,A1,adjective,freddo,X,che ha bassa temperatura,X,In inverno fa freddo.,In winter it is cold.,
fruit,A1,feminine,frutta,X,parte commestibile di piante consumata dolce,X,Mi piace la frutta fresca.,I like fresh fruit.,
outside,A1,adverb,fuori,X,nella parte esterna di un luogo,X,Il cane è fuori nel giardino.,The dog is outside in the garden.,
cat,A1,masculine,gatto,X,felino domestico di piccola taglia,X,Il gatto dorme sul divano.,The cat is sleeping on the sofa.,
ice cream,A1,masculine,gelato,X,dolce freddo a base di latte e zucchero,X,Mangio un gelato alla fragola.,I'm eating a strawberry ice cream.,
January,A1,masculine,gennaio,X,primo mese dell’anno,X,Gennaio è il primo mese dell'anno.,January is the first month of the year.,
people,A1,feminine,gente,X,insieme di persone considerate collettivamente,X,C'è tanta gente al parco.,There are a lot of people at the park.,
Germany,A1,feminine,Germania,X,stato europeo di lingua tedesca,X,La Germania è in Europa.,Germany is in Europe.,
jacket,A1,feminine,giacca,X,indumento che copre la parte superiore del corpo,X,Ho una giacca nuova.,I have a new jacket.,
yellow,A1,adjective,giallo,X,colore del sole e dell’oro,X,Il sole è giallo.,The sun is yellow.,
garden,A1,masculine,giardino,X,spazio verde coltivato con piante ornamentali,X,Il giardino è grande e pieno di fiori.,The garden is big and full of flowers.,
play,A1,verb,giocare,X,praticare un’attività ludica o sportiva,X,I bambini giocano nel giardino.,The children are playing in the garden.,
newspaper,A1,masculine,giornale,X,pubblicazione periodica con notizie,X,Leggo il giornale ogni mattina.,I read the newspaper every morning.,
day,A1,masculine,giornata,X,insieme delle ore che compongono un giorno vissuto,X,Oggi è una bella giornata.,Today is a beautiful day.,
day,A1,masculine,giorno,X,unità di tempo pari a ventiquattr’ore,X,Oggi è un giorno bello.,Today is a nice day.,
young,A1,adjective,giovane,X,che ha poca età,X,Sei ancora giovane.,You are still young.,
Thursday,A1,masculine,giovedì,X,quinto giorno della settimana,X,Giovedì abbiamo lezione di musica.,On Thursday we have music class.,
June,A1,masculine,giugno,X,sesto mese dell’anno,X,Giugno è il mese della scuola che finisce.,June is the month when school ends.,
skirt,A1,feminine,gonna,X,indumento femminile che copre dalla vita in giù,X,La gonna è rossa.,The skirt is red.,
"big, large",A1,adjective,grande,X,che ha dimensioni rilevanti,X,La casa è molto grande.,The house is very big.,
thanks,A1,interjection,grazie,X,espressione di ringraziamento,X,Grazie per il regalo.,Thank you for the gift.,
"watch, look at",A1,verb,guardare,X,dirigere lo sguardo verso qualcosa,X,Mi piace guardare la televisione.,I like to watch television.,
hotel,A1,masculine,hotel,X,struttura ricettiva per alloggiare viaggiatori,X,Dormiamo in un hotel vicino al mare.,We're sleeping in a hotel near the sea.,
idea,A1,feminine,idea,X,"pensiero, progetto o concetto mentale",X,Hai una buona idea.,You have a good idea.,
yesterday,A1,adverb,ieri,X,giorno precedente a quello presente,X,Ieri siamo andati al cinema.,We went to the movies yesterday.,
the,A1,article,il,X,articolo determinativo maschile singolare,X,Il cane è grande.,The dog is big.,
learn,A1,verb,imparare,X,acquisire conoscenze o abilità,X,Voglio imparare l'italiano.,I want to learn Italian.,
in,A1,preposition,in,X,indica collocazione all’interno,X,Vivo in Italia.,I live in Italy.,
address,A1,masculine,indirizzo,X,"indicazione di luogo, numero civico e città",X,Qual è il tuo indirizzo?,What’s your address?,
information,A1,feminine,informazione,X,notizia o dato che serve a sapere qualcosa,X,L'informazione è importante.,Information is important.,
English,A1,masculine,inglese,X,persona proveniente dal Regno Unito o che parla quella lingua,X,Lui parla inglese molto bene.,He speaks English very well.,
"start, begin",A1,verb,iniziare,X,avviare un’attività o un processo,X,Voglio iniziare un nuovo libro oggi.,I want to start a new book today.,
"salad, lettuce",A1,feminine,insalata,X,piatto freddo a base di verdure crude,X,Mangio un'insalata con pomodori e formaggio.,I'm eating a salad with tomatoes and cheese.,
teacher,A1,masculine,insegnante,X,persona che insegna,X,L'insegnante è simpatico.,The teacher is sympathetic.,
together,A1,adverb,insieme,X,con gli altri nello stesso momento,X,Studiamo insieme.,We study together.,
winter,A1,masculine,inverno,X,stagione fredda dell’anno,X,L'inverno è molto freddo.,Winter is very cold.,
invite,A1,verb,invitare,X,proporre a qualcuno di partecipare a qualcosa,X,Voglio invitare i miei amici a cena.,I want to invite my friends to dinner.,
invitation,A1,masculine,invito,X,biglietto o parola con cui si chiede a qualcuno di partecipare,X,Ho ricevuto un invito alla festa.,I received an invitation to the party.,
I,A1,pronoun,io,X,pronome personale della prima persona singolare,X,Io ho due sorelle.,I have two sisters.,
Italy,A1,feminine,Italia,X,stato europeo con capitale Roma,X,L'Italia è un paese molto bello.,Italy is a very beautiful country.,
